%eval_id interface desired_speed  radius         time_gap       strength_neighbor range_neighbor strength_geometry range_geometry least_sq_term_1 least_sq_term_2 least_sq_term_3 least_sq_term_4 least_sq_term_5 least_sq_term_6 least_sq_term_7 least_sq_term_8 least_sq_term_9 least_sq_term_10 least_sq_term_11 least_sq_term_12 least_sq_term_13 least_sq_term_14 least_sq_term_15 least_sq_term_16 least_sq_term_17 least_sq_term_18 least_sq_term_19 least_sq_term_20 least_sq_term_21 least_sq_term_22 least_sq_term_23 least_sq_term_24 least_sq_term_25 least_sq_term_26 least_sq_term_27 least_sq_term_28 least_sq_term_29 least_sq_term_30 least_sq_term_31 least_sq_term_32 least_sq_term_33 
1        NO_ID      0.806166477    0.1932310764   1.963635051    2.318836023    0.1250916242   3.658947351    0.06321445353  -16.20255      2.61307        -3.77595       -15.90961      5.54008        -3.13693       -16.05202      9.31661        -6.13885       -13.97706      -2.36586       -2.0109        -11.87767      -6.36577       0.74357        -16.24318      2.69344        -2.64005       -13.60018      -3.06919       -1.74199       -16.20783      10.98977       -3.31134       -16.45803      -0.91831       -2.5357        -16.55888      7.62866        -2.87086       -16.5458       2.46404        -5.23695       
2        NO_ID      1.052495029    0.1666555248   0.7966542852   9.961263808    0.2889984142   7.885642075    0.1898827873   -16.55087      0.38172        15.98219       -16.66667      5.40056        32.57307       -16.66667      8.30721        10.72009       -16.54988      3.22259        -2.19252       -12.99754      -1.69976       -1.70661       -16.66667      1.05494        34.00488       -16.53837      -0.00735       -5.96098       -16.66667      7.7804         29.9161        -16.56284      0.76786        -1.30012       -16.66667      8.46812        26.41977       -16.54617      -0.13263       0.03168        
3        NO_ID      1.357798369    0.1284821894   0.6701317801   5.231670655    0.1111881533   4.199825503    0.05396522552  -15.62661      6.86412        11.72859       -15.79498      7.60064        14.12742       0.65476        -0.677         -0.34148       2.02448        -0.42293       0.77123        2.2822         0.13305        -0.3737        -14.71559      7.28198        4.97061        4.79582        -0.66501       1.53814        2.65537        -2.01084       3.03665        0.99241        -0.40063       0.04547        1.63456        0.04857        0.59121        -14.86643      7.18322        1.87305        
4        NO_ID      1.608636132    0.1328515396   0.9445613058   1.562811279    0.2558747416   2.307633619    0.07206607027  -8.92918       1.30203        -1.50957       4.60069        -1.42973       0.93786        -15.75211      5.58691        3.1609         -3.24544       0.35524        -0.60218       -16.33367      -2.60723       9.31234        -15.97055      3.96454        20.18948       -15.02679      -0.29123       4.69441        2.27021        -2.28731       3.83129        0.80878        -1.308         0.19252        1.60256        -0.45975       -0.68562       -10.31436      2.91277        -3.14928       
5        NO_ID      1.526619718    0.1707705603   0.8875895628   6.921058188    0.03734997738  2.556285904    0.1301174676   -15.72093      9.19211        -5.50628       -14.0995       4.49696        -7.86126       -15.61634      8.57405        -8.03336       -14.65642      5.47197        -7.54568       -12.02093      1.19981        -7.48921       -10.58713      3.68324        -7.10284       -14.32793      5.79541        -8.13929       -15.38781      4.86215        -7.72444       -13.3777       3.6628         -7.507         -15.89269      14.47954       -6.74597       -11.61715      8.24294        -8.52212       
6        NO_ID      1.299745026    0.1616344851   0.4127422951   9.458953542    0.2521634409   5.358559566    0.08737667871  -8.6902        -2.21103       9.13288        -12.17318      -1.39224       10.83343       -15.24115      2.44384        4.76702        -14.33414      0.04498        2.83664        -10.22438      -2.73881       5.93736        -9.55678       -1.69022       10.45123       -14.1404       0.36471        2.14909        -15.0941       2.72005        7.04961        -12.97167      -2.04308       6.48454        -12.83988      -0.18454       8.63916        -9.46329       -2.04515       3.68708        
7        NO_ID      1.796608419    0.1071662161   1.790425332    9.547166933    0.2400153024   9.887602724    0.07611323157  -8.24192       -1.22096       4.90253        -11.68395      -0.38906       7.07505        -14.93975      1.61404        1.5767         -14.22079      -3.15055       6.0745         -10.00891      -6.15687       10.73813       -9.01198       -0.80375       5.75442        -13.89242      -3.65375       4.59541        -14.42315      1.82731        8.35131        -12.67315      -2.61447       3.99007        -12.42323      1.0061         4.69453        -8.88132       -1.20493       0.80593        
8        NO_ID      0.9921836362   0.1127775811   0.613029533    2.657941513    0.3928401334   2.992739338    0.0835381458   1.22549        -1.65738       4.78801        -15.04402      3.96044        -0.76453       -3.11918       -0.7852        1.94113        -15.49884      5.17694        -3.51885       -2.6464        0.28002        -1.23649       -12.05842      1.98832        0.67193        -15.27489      4.45932        -3.61773       -0.14493       -1.02104       6.93653        -1.05779       -2.07924       1.52823        -0.46512       -0.45667       4.8717         1.94471        -1.68814       1.06143        
9        NO_ID      1.719974871    0.1889525919   0.3448780784   5.934078661    0.3616992999   0.7948979015   0.05145675267  -8.35454       -3.4335        11.0679        -11.80689      -2.77955       18.28396       -15.04079      0.37409        6.24304        -16.43373      1.76872        -6.38266       -15.33512      -1.41552       -4.59825       -11.09962      -1.80015       5.49791        -16.54052      -0.00735       13.26355       -15.88117      3.07299        3.47359        -12.67181      -3.23554       7.59436        -13.27078      -0.37054       8.1421         -13.6713       -1.26329       -6.66084       
10       NO_ID      1.154608552    0.1543370476   1.211737864    4.158839051    0.1385028436   5.5788934      0.03326278581  -16.43523      1.8777         8.76612        -16.0432       5.51056        7.72761        -4.45004       0.05977        -1.94872       -2.43728       -0.34198       -0.74101       -14.22222      -2.68176       1.9408         -15.41114      6.12543        3.81762        -1.03734       -2.32449       1.46002        -3.19149       -0.89632       0.7361         -15.7423       -0.07049       3.11218        -15.81541      8.86085        2.43819        -16.06598      2.0811         0.39397        
