%eval_id interface desired_speed  radius         time_gap       strength_neighbor range_neighbor strength_geometry range_geometry least_sq_term_1 least_sq_term_2 least_sq_term_3 least_sq_term_4 least_sq_term_5 least_sq_term_6 least_sq_term_7 least_sq_term_8 least_sq_term_9 least_sq_term_10 least_sq_term_11 least_sq_term_12 least_sq_term_13 least_sq_term_14 least_sq_term_15 least_sq_term_16 least_sq_term_17 least_sq_term_18 least_sq_term_19 least_sq_term_20 least_sq_term_21 least_sq_term_22 least_sq_term_23 least_sq_term_24 least_sq_term_25 least_sq_term_26 least_sq_term_27 
1        NO_ID      0.806166477    0.1932310764   1.963635051    2.318836023    0.1250916242   3.658947351    0.06321445353  -15.20925      2.57438        -3.96917       -15.7431       5.0482         -4.23531       -13.6295       1.15978        -4.78448       -16.38794      11.06268       -9.58538       -15.59553      6.67694        -4.48188       -13.61826      -0.72174       -3.97543       -16.28943      0.39363        -3.74822       -16.28992      6.12911        -4.64329       -15.45812      6.21318        -6.91505       
2        NO_ID      1.052495029    0.1666555248   0.7966542852   9.961263808    0.2889984142   7.885642075    0.1898827873   -16.54627      0.0855         35.62033       -16.66667      4.26071        31.08681       -16.53381      7.83768        -4.86847       -11.93307      5.34614        -5.25406       -16.66667      2.30787        28.89632       -16.53926      2.95488        -5.09585       -16.54096      1.24026        -3.22534       -16.66667      6.30772        20.51085       -16.53193      2.41147        -2.6334        
3        NO_ID      1.357798369    0.1284821894   0.6701317801   5.231670655    0.1111881533   4.199825503    0.05396522552  3.99872        -0.55084       1.83278        5.89609        -1.48346       0.59861        4.8511         4.52058        -3.70959       6.54762        4.66286        -0.54339       -15.60558      9.6825         10.22461       4.00372        2.37149        -1.45608       -14.68576      6.54183        3.10131        4.94152        -0.8037        -0.7292        -12.26503      11.76845       -3.18133       
4        NO_ID      1.608636132    0.1328515396   0.9445613058   1.562811279    0.2558747416   2.307633619    0.07206607027  -14.86441      4.82758        9.24442        -16.40526      2.79503        22.17918       5.82329        5.35832        -2.81274       -15.41491      6.70523        -0.48702       5.60996        0.50758        -2.68427       4.65898        0.80814        1.09513        4.67017        -0.06426       -0.46403       -12.29187      0.41065        -1.98408       -9.20472       6.0749         -3.76704       
5        NO_ID      1.526619718    0.1707705603   0.8875895628   6.921058188    0.03734997738  2.556285904    0.1301174676   -10.18809      3.92113        -6.63458       -12.3505       1.65093        -7.6347        -14.38267      14.31659       -8.68224       -9.71247       12.70745       -8.11106       -14.48676      12.29359       -7.74885       -14.35737      10.55075       -8.3342        -13.59965      7.92848        -7.62826       -13.05931      3.44376        -7.56656       -9.85606       11.4914        -8.06538       
6        NO_ID      1.299745026    0.1616344851   0.4127422951   9.458953542    0.2521634409   5.358559566    0.08737667871  -8.37074       -3.06215       13.90372       -11.9567       -1.64898       8.91176        -14.03362      5.41462        -2.30711       -8.45797       0.69052        1.88876        -9.89998       -0.6995        7.24273        -14.18428      3.50043        -0.96618       -12.20813      -1.1419        5.18053        -12.16084      -1.28011       6.50344        -8.66101       0.56521        2.04223        
7        NO_ID      1.796608419    0.1071662161   1.790425332    9.547166933    0.2400153024   9.887602724    0.07611323157  -7.89863       -2.08847       7.73415        -11.44037      -0.80218       4.58718        -13.90567      0.24437        -0.15593       -8.32442       -2.31621       3.45923        -9.51393       0.10993        3.61105        -13.94061      -1.12127       0.31618        -11.84467      -0.99229       2.31197        -11.66858      -0.53682       3.26295        -8.00838       1.53113        -0.47491       
8        NO_ID      0.9921836362   0.1127775811   0.613029533    2.657941513    0.3928401334   2.992739338    0.0835381458   -16.0645       2.15772        22.84723       3.27657        -1.8866        5.79417        0.18811        6.35121        -4.28607       0.87128        6.15855        -3.90143       3.73692        -0.70708       3.2035         -15.42297      8.76712        -2.23811       1.65414        -1.11088       0.43272        2.42894        -1.44338       3.76655        3.9272         0.98029        -0.27454       
9        NO_ID      1.719974871    0.1889525919   0.3448780784   5.934078661    0.3616992999   0.7948979015   0.05145675267  -16.54664      -0.3024        83.68866       -11.56933      -2.89521       15.15379       -16.53519      10.38593       1.54037        -14.5818       6.74619        -7.93787       -9.51393       -2.30681       9.14048        -16.54271      2.95488        6.79426        -11.96831      -2.05136       7.21684        -12.6682       -1.50937       7.46931        -13.86844      1.24679        -1.29064       
10       NO_ID      1.154608552    0.1543370476   1.211737864    4.158839051    0.1385028436   5.5788934      0.03326278581  -16.06511      1.93098        11.23483       -16.40483      3.29098        7.89274        -0.50505       3.33561        -3.5094        0.34069        3.60993        -2.79382       -15.87005      6.89889        4.38514        -1.28205       -0.10018       -1.19722       -1.91687       0.70182        -3.06982       -15.53945      8.08748        -0.02279       -16.39963      4.22148        2.93609        
