%eval_id interface desired_speed  radius         door_width     evacuation_time_1 evacuation_time_2 evacuation_time_3 
1        NO_ID      1.4            0.13           1.2            -19.23         -12.17         -6.59          
2        NO_ID      1.399603746    0.1314259934   1.2            -14.45         -11.2          -5.63          
3        NO_ID      1.311389598    0.1334368439   1.2            -19.79         -10.04         -5.07          
4        NO_ID      1.345408904    0.1354724803   1.2            -16.94         -8.92          -5.29          
5        NO_ID      1.376020714    0.1329120601   1.2            -16.23         -11.27         -5.24          
6        NO_ID      1.392752393    0.13169457     1.2            -17.48         -10.67         -6.42          
7        NO_ID      1.398795178    0.1314435505   1.2            -19.42         -11.35         -7.62          
8        NO_ID      1.399521816    0.1314275843   1.2            -17.37         -13.18         -6.07          
9        NO_ID      1.399595544    0.1314261508   1.2            -15.83         -12.93         -6.36          
10       NO_ID      1.399602926    0.1314260091   1.2            -18.23         -10.42         -5.74          
11       NO_ID      1.399603664    0.131425995    1.2            -15.84         -9.51          -6.39          
12       NO_ID      1.399603738    0.1314259935   1.2            -18.63         -11.33         -7.52          
