%eval_id interface radius         time_gap       strength_neighbor range_neighbor strength_geometry range_geometry desired_speed  least_sq_term_1 least_sq_term_2 least_sq_term_3 least_sq_term_4 least_sq_term_5 least_sq_term_6 least_sq_term_7 least_sq_term_8 least_sq_term_9 least_sq_term_10 least_sq_term_11 least_sq_term_12 least_sq_term_13 least_sq_term_14 least_sq_term_15 least_sq_term_16 least_sq_term_17 least_sq_term_18 least_sq_term_19 least_sq_term_20 least_sq_term_21 least_sq_term_22 least_sq_term_23 least_sq_term_24 least_sq_term_25 least_sq_term_26 least_sq_term_27 least_sq_term_28 least_sq_term_29 least_sq_term_30 
1        NO_ID      0.1407026307   0.4094890493   2.760593411    0.0318136991   2.134223995    0.1521168792   1.55           1.53291        -3.55          4.6161         -4.10436       -6.70832       4.39388        -7.44087       -6.93174       -5.69013       -14.30408      6.35872        -6.30731       -13.50584      3.00999        -6.05096       -13.96332      5.06164        -5.75415       -15.28827      4.76176        -6.9679        -15.0771       11.77931       -5.98399       -16.54941      8.60059        5.30941        -13.11227      6.80597        -7.13472       
2        NO_ID      0.1642529319   0.5514767713   2.994321425    0.1078001994   7.17857897     0.04829641403  1.55           0.34161        -1.16538       1.26959        -1.6484        -1.97845       0.97382        -5.03911       -2.2197        -1.57223       -13.98606      0.64531        4.4831         -15.77837      -3.25492       7.36799        -13.63718      -0.30222       4.11547        -16.10353      11.51983       14.97918       -16.42688      2.03635        9.12536        -16.20473      4.39599        12.32409       -13.59966      8.01117        0.20588        
3        NO_ID      0.1553094214   1.182766815    4.73375441     0.2918236569   8.495726359    0.05841091935  1.55           -6.90104       -3.95702       -0.48139       -7.04536       -3.95485       -0.93961       -8.54028       -3.59914       -2.97292       -14.21916      -1.14281       4.94484        -10.00669      -5.59217       10.35251       -13.89056      -3.09009       6.76173        -14.5339       1.31929        8.24735        -16.42688      1.68504        3.12747        -15.858        2.74814        6.32128        -9.28539       -1.1181        5.28007        
4        NO_ID      0.1247093247   0.8985828691   6.951401909    0.03628253048  9.713992699    0.1133232566   1.55           -5.12387       3.03637        -4.52891       -6.35722       -1.60985       -2.24093       -9.80237       -4.90202       -4.91753       -16.11477      16.6993        -8.91008       -14.75128      12.4992        -9.00107       -16.35212      19.95263       -8.89895       -16.66667      7.7804         29.23835       -16.53159      15.96675       -5.77942       -16.5319       14.65659       -7.69368       -16.66667      1.05494        36.25103       
5        NO_ID      0.19015193     0.5949972185   3.796378304    0.2174161953   4.885838746    0.1863907834   1.55           -4.39957       -3.40906       1.36131        -2.78295       -3.92471       4.47302        -5.38863       -3.23951       0.0403         -16.42399      8.61163        -6.47075       -16.66667      -0.9922        3.02179        -16.26381      8.87217        -7.37626       -16.66667      7.7804         37.58182       -16.17774      5.12345        -5.30482       -16.54784      6.43773        -2.92806       -16.66667      1.05494        39.01737       
6        NO_ID      0.1872903901   1.038630433    4.464843973    0.1228676475   6.208417921    0.1600436272   1.55           -9.84061       -2.72493       -4.37253       -9.30271       -3.09543       -3.36818       -10.56477      -2.76087       -4.47486       -16.66667      4.87542        -0.5401        -16.1691       1.96566        -9.62162       -16.66667      3.32353        -3.16503       -16.66667      7.7804         21.16196       -16.52612      8.69606        -8.52736       -16.66667      1.24687        16.00965       -16.66667      1.05494        17.90357       
7        NO_ID      0.1136833137   0.7397555169   2.284425008    0.2533671601   4.334607809    0.05237197376  1.55           3.77572        1.30112        0.4173         4.9501         0.70778        1.02116        1.43538        0.90698        -1.20015       5.09868        -0.59787       4.08607        3.33333        -0.86508       1.89013        6.875          -1.06576       3.52576        4.13625        -2.15899       3.77334        -10.43212      2.8318         -2.42159       5.08237        0.01731        1.86944        -15.83105      5.79082        24.64465       
8        NO_ID      0.1850695457   1.119779102    8.047528264    0.376266898    2.516393163    0.1887766196   1.55           -16.66667      -10            -10            -16.66667      -10            -10            -16.66667      -10            -10            -16.66667      -10            -10            -16.66667      -10            -10            -16.66667      -10            -10            -15.54416      1.50381        8.57032        -16.66667      -10            -10            -16.66667      -10            -10            -16.66667      -10            -10            
9        NO_ID      0.1378990852   0.8171052507   5.359595984    0.09566632888  4.168324027    0.1956077642   1.55           -4.80324       2.7821         -4.62076       -4.92031       1.75723        -4.01827       -6.59883       0.34166        -3.89478       -16.15341      16.60013       -8.1336        -12.203        6.61533        -7.14638       -16.10068      18.17638       -8.22451       -16.66667      7.7804         26.99716       -15.26706      13.0817        -8.25981       -15.6915       14.18947       -7.7784        -16.66667      1.05494        38.05557       
10       NO_ID      0.1812087153   0.6898585295   8.394700555    0.1611285367   9.591548425    0.08680660378  1.55           -5.57359       -3.31326       -0.20178       -4.17666       -3.81167       2.17626        -6.41578       -3.35843       -0.959         -14.91669      2.82119        -3.88972       -12.32607      -2.91422       -2.31026       -14.63338      2.67128        -4.66314       -16.66667      7.7804         36.72033       -15.702        3.53677        -3.62989       -12.71103      3.46128        -3.23003       -14.13007      4.79284        -4.48914       
