%eval_id interface radius         time_gap       strength_neighbor range_neighbor desired_speed  flow_2.4       density_2.4    speed_2.4      flow_3.6       density_3.6    speed_3.6      flow_5.0       density_5.0    speed_5.0      
1        NO_ID      0.198778449    0.1778080297   3.663517525    0.2661837401   1.55           2.3798         -2.08003       0.44745        4.42113        -1.74209       0.70532        5.19226        -1.17864       0.72601        
2        NO_ID      0.1664857198   0.4048444761   7.062472531    0.07276234604  1.55           1.19102        -0.45614       0.06725        1.53096        -0.71094       0.15748        -0.52955       -0.87624       0.12376        
3        NO_ID      0.235735863    0.3884969012   5.53535355     0.04340031308  1.55           -1.47273       -2.79145       0.15568        -2.87194       -2.75625       0.27243        -7.45014       -2.07038       -0.03381       
4        NO_ID      0.1291448944   0.7145524244   9.618499138    0.2171449596   1.55           0.03891        -1.92067       0.13087        -0.13906       -1.61841       0.1562         -2.1011        -1.09775       0.02984        
5        NO_ID      0.2306378681   0.946654046    5.134881639    0.08211452691  1.55           -3.3899        -3.00196       -0.02946       -4.92984       -2.91849       0.05234        -9.26153       -2.35415       -0.11515       
6        NO_ID      0.1532048413   0.8658623561   2.642215867    0.1537581066   1.55           -1.53306       -0.31716       -0.08029       -2.52031       -0.6641        -0.08422       -5.28423       -0.94147       -0.15273       
7        NO_ID      0.2458262893   0.1291982799   8.541770198    0.2456902423   1.55           0.10344        -3.50261       0.58922        0.4413         -2.94016       0.80267        -0.87542       -2.28382       0.75278        
8        NO_ID      0.1564582327   0.2912632736   6.01262682     0.1160244002   1.55           3.91501        0.03271        0.17714        6.35893        -0.29157       0.36297        6.90197        -0.13914       0.31739        
9        NO_ID      0.2119684468   0.932796222    8.256997919    0.2432575655   1.55           -3.01094       -3.20552       0.04224        -4.45264       -2.82001       0.05471        -7.80255       -2.27799       -0.05197       
10       NO_ID      0.2187717173   0.7694985919   3.287592013    0.2999251264   1.55           -2.54248       -3.00071       0.0741         -3.52776       -2.71469       0.16645        -6.31935       -2.13004       0.07239        
11       NO_ID      0.18915519     0.5643064176   6.575913498    0.02174277665  1.55           -2.13436       -2.74218       0.04755        -4.89617       -3.04062       -0.00339       -9.45203       -2.79685       -0.3271        
12       NO_ID      0.1935662303   0.4989675328   7.653295572    0.187216252    1.55           -0.77043       -2.31671       0.13822        -0.89301       -2.03777       0.23471        -2.74536       -1.63419       0.18019        
13       NO_ID      0.14487968     0.6664785534   2.146179448    0.1102251979   1.55           0.07552        -0.04944       -0.00886       -1.05156       -1.41297       0.06327        -4.31224       -1.55666       -0.0985        
14       NO_ID      0.1799612945   0.6291683678   8.941109734    0.148658339    1.55           -1.3886        -1.76288       0.01868        -1.90306       -1.69407       0.05508        -4.44867       -1.29681       -0.05607       
15       NO_ID      0.1219239408   0.2794492559   4.291242631    0.2059933699   1.55           8.51344        0.26239        0.36305        13.78021       0.10051        0.61584        17.9635        0.51402        0.57276        
16       NO_ID      0.1590237769   0.5611111111   8.08870599     0.1436122542   1.55           -0.01867       -0.98417       0.04356        0.12493        -1.00404       0.08553        -1.82626       -0.84679       0.03937        
17       NO_ID      0.1339986283   0.813648834    3.018747142    0.2031458619   1.55           -0.30741       0.29603        -0.04455       -0.61892       -0.06476       -0.0601        -2.70428       -0.15402       -0.1359        
18       NO_ID      0.1344477468   0.6999771376   4.666869888    0.1997459737   1.55           0.55169        -0.36035       0.03033        0.47443        -0.49828       0.03249        -1.34733       -0.1853        -0.08762       
19       NO_ID      0.1430074176   0.5555326932   9.764873241    0.08221510949  1.55           0.64715        0.56337        -0.02488       0.49057        0.00957        0.00755        -1.15355       -0.2955        -0.04449       
20       NO_ID      0.1344477468   0.7549382716   2.800894173    0.2377848905   1.55           0.18175        -0.15685       0.0066         0.37428        -0.4763        0.04377        -1.39699       -0.32133       -0.05934       
21       NO_ID      0.1274864096   0.8111796982   2.087181832    0.2481552609   1.55           0.27048        0.22668        -0.00118       0.43658        -0.1741        0.01136        -0.78139       -0.17439       -0.0754        
22       NO_ID      0.1264230554   0.8320759031   2.000203221    0.2542864401   1.55           0.09274        0.40911        -0.02365       0.1018         -0.02035       -0.00917       -1.31395       -0.03562       -0.09287       
23       NO_ID      0.1526370472   0.5555326932   9.999796779    0.0994990601   1.55           0.01411        -0.1774        -0.0165        0.05039        -0.54186       0.02847        -2.14753       -0.47281       -0.05401       
24       NO_ID      0.185          0.55           6              0.16           1.55           -0.7817        -1.71438       0.06415        -1.11843       -1.65126       0.11318        -3.08961       -1.33899       0.1013         
